ATG5,Q9H1Y0,,
ATG7,O95352,,
ATIC,P31939,,
ATM,Q13315,,
ATN1,P54259,,
ATP10A,O60312,,
ATP12A,P54707,,
ATP2A1,O14983,,
ATP2B1,P20020,,
ATP4A,P20648,,
ATP5F1B,P06576,,
ATP5MC1,P05496,,
ATP5PF,P18859,,
ATP5PO,P48047,,
ATP6AP2,O75787,,
ATP6V1H,Q9UI12,,
ATP7A,Q04656,,
MT-ATP8,P03928,,
ATP8A1,Q9Y2Q0,,
ATP8B2,P98198,,
ATRNL1,Q5VV63,,
ATXN1,P54253,,
ATXN2,Q99700,,
ATXN7,O15265,,
AVP,P01185,,
AVPR2,P30518,,
AZGP1,P25311,,
AZU1,P20160,,
B2M,P61769,,
BACE1,P56817,,
BACE2,Q9Y5Z0,,
BACH2,Q9BYV9,,
BAD,Q92934,,
BANF1,O75531,,
BAX,Q07812,,
BAZ1B,Q9UIG0,,
BBS10,Q8TAM1,,
BBS2,Q9BXC9,,
BCAR1,P56945,,
BCAT1,P54687,,
BCHE,P06276,,
BCL11A,Q9H165,,
BCL2A1,Q16548,,
BCL9,O00512,,
BCR,P11274,,
BCS1L,Q9Y276,,
BDNF,P23560,,
BEAN1,Q3B7T3,,
BECN1,Q14457,,
BEST1,O76090,,
BEST3,Q8N1M1,,
BFAR,Q9NZS9,,
BGLAP,P02818,,
BGN,P21810,,
BICC1,Q9H694,,
BID,P55957,,
BIN1,O00499,,
BIRC2,Q13490,,
BIRC3,Q13489,,
BIRC8,Q96P09,,
BLK,P51451,,
BLM,P54132,,
BLVRA,P53004,,
BMI1,P35226,,
BMP2,P12643,,
BMP4,P12644,,
BMP6,P22004,,
BMP7,P18075,,
BMS1,Q14692,,
BNC2,Q6ZN30,,
BNIP3,Q12983,,
RTL10,Q7L3V2,,
BPI,P17213,,
BPIFA1,Q9NP55,,
BPIFA4P,Q86YQ2,,
C6orf89,Q6UWU4,,
BRAP,Q7Z569,,
BRCA1,P38398,,
BRCA2,P51587,,
BRD2,P25440,,
BRD4,O60885,,
BRD9,Q9H8M2,,
BRINP1,O60477,,
BRINP3,Q76B58,,
BRS3,P32247,,
BSCL2,Q96G97,,
BSG,P35613,,
BTC,P35070,,
BTN2A1,Q7KYR7,,
C16orf74,Q96GX8,,
C17orf58,Q2M2W7,,
C1GALT1,Q9NS00,,
C1QL3,Q5VWW1,,
C1QTNF1,Q9BXJ1,,
C1QTNF12,Q5T7M4,,
C1QTNF3,Q9BXJ4,,
C1QTNF5,Q9BXJ0,,
C1QTNF9,P0C862,,
